incident_type,city,state,date_time,year,data type,subject_race,gender,subject_ethnicity,block_address,district,psa,age
Stop & Frisk,"Washington, D.C.",DC,1/7/10 3:00,2010,Person,Black,Female,Not Hispanic Or Latino,2600 B/O STANTON RD SE,7D,703.0,20
Stop & Frisk,"Washington, D.C.",DC,1/7/10 19:09,2010,Person,Black,Male,Not Hispanic Or Latino,3100 B/O 14TH ST NW TARGET CORP,3D,302.0,39
Stop & Frisk,"Washington, D.C.",DC,1/7/10 20:50,2010,Person,Black,Male,Not Hispanic Or Latino,5100 B/O HANNA PL SE,6D,604.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/7/10 23:35,2010,Person,Black,Male,Not Hispanic Or Latino,200 B/O 46TH PL NE,6D,602.0,21
Stop & Frisk,"Washington, D.C.",DC,1/7/10 23:55,2010,Person,Black,Male,Not Hispanic Or Latino,4400 B/O PONDS ST NE,6D,601.0,24
Stop & Frisk,"Washington, D.C.",DC,1/8/10 4:20,2010,Person,Black,Male,Not Hispanic Or Latino,14TH / V ST NW,3D,305.0,35
Stop & Frisk,"Washington, D.C.",DC,1/8/10 4:20,2010,Person,Black,Male,Not Hispanic Or Latino,14TH / V ST NW,3D,305.0,26
Stop & Frisk,"Washington, D.C.",DC,1/8/10 13:50,2010,Person,Black,Male,Not Hispanic Or Latino,VARNUM ST / EASTERN AVE,5D,503.0,Unknown
Stop & Frisk,"Washington, D.C.",DC,1/8/10 19:12,2010,Person,Black,Female,Unknown,STANTON RD SE / ELVANS RD SE,7D,703.0,47
Stop & Frisk,"Washington, D.C.",DC,1/8/10 21:29,2010,Person,Unknown,Male,Hispanic Or Latino,3300 B/O MT PLEASANT ST NW,4D,301.0,18
Stop & Frisk,"Washington, D.C.",DC,1/8/10 21:54,2010,Person,Black,Male,Not Hispanic Or Latino,13TH ST SE,1D,106.0,28
Stop & Frisk,"Washington, D.C.",DC,1/8/10 21:54,2010,Person,Black,Male,Not Hispanic Or Latino,13TH ST SE,1D,106.0,39
Stop & Frisk,"Washington, D.C.",DC,1/9/10 4:23,2010,Person,Black,Male,Not Hispanic Or Latino,GEORGIA AVE / HAMILTON ST NW,4D,403.0,20
Stop & Frisk,"Washington, D.C.",DC,1/9/10 4:23,2010,Person,Unknown,Unknown,Unknown,GEORGIA AVE / HAMILTON ST NW,4D,403.0,
Stop & Frisk,"Washington, D.C.",DC,1/9/10 11:30,2010,Person,Black,Male,Not Hispanic Or Latino,SAVANNAH ST SE,7D,705.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/9/10 11:30,2010,Person,Unknown,Unknown,Unknown,SAVANNAH ST SE,7D,705.0,
Stop & Frisk,"Washington, D.C.",DC,1/9/10 13:30,2010,Person,Black,Male,Not Hispanic Or Latino,6300 B/O 5TH ST NW,4D,402.0,18
Stop & Frisk,"Washington, D.C.",DC,1/9/10 16:00,2010,Person,Black,Male,Not Hispanic Or Latino,5100 B/O FITCH PL NE,6D,602.0,61
Stop & Frisk,"Washington, D.C.",DC,1/9/10 18:00,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O CONNECTICUT AVE NW,,,24
Stop & Frisk,"Washington, D.C.",DC,1/9/10 19:50,2010,Person,White,Male,Not Hispanic Or Latino,1700 B/O 17TH ST NW,3D,301.0,41
Stop & Frisk,"Washington, D.C.",DC,1/9/10 20:10,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O U ST NW,3D,305.0,29
Stop & Frisk,"Washington, D.C.",DC,1/10/10 1:09,2010,,,,,1700 B/O KILBOURNE ST NW,3D,301.0,
Stop & Frisk,"Washington, D.C.",DC,1/10/10 4:50,2010,Person,Black,Male,Not Hispanic Or Latino,5800 B/O FIELD PL NE,6D,608.0,37
Stop & Frisk,"Washington, D.C.",DC,1/10/10 17:55,2010,Person,Black,Male,Not Hispanic Or Latino,1300 B/O FORT STEVENS DR NW,4D,402.0,38
Stop & Frisk,"Washington, D.C.",DC,1/10/10 20:30,2010,Person,Black,Male,Not Hispanic Or Latino,45TH ST NE / BENNING RD NE,6D,602.0,20
Stop & Frisk,"Washington, D.C.",DC,1/10/10 20:30,2010,Person,Black,Male,Unknown,45TH ST NE / BENNING RD NE,6D,602.0,19
Stop & Frisk,"Washington, D.C.",DC,1/10/10 22:00,2010,Person,Black,Male,Not Hispanic Or Latino,RHODE ISLAND / NEW JERSEY AVE NW,5D,501.0,56
Stop & Frisk,"Washington, D.C.",DC,1/10/10 22:00,2010,Person,Unknown,Male,Not Hispanic Or Latino,RHODE ISLAND / NEW JERSEY AVE NW,5D,501.0,
Stop & Frisk,"Washington, D.C.",DC,1/10/10 22:30,2010,Person,Black,Female,Unknown,3600 B/O AMES ST NE,6D,604.0,26
Stop & Frisk,"Washington, D.C.",DC,1/10/10 22:30,2010,Person,Black,Male,Unknown,3600 B/O AMES ST NE,6D,604.0,29
Stop & Frisk,"Washington, D.C.",DC,1/10/10 22:30,2010,Person,Black,Female,Not Hispanic Or Latino,3600 B/O AMES ST NE,6D,604.0,22
Stop & Frisk,"Washington, D.C.",DC,1/11/10 1:03,2010,Person,Black,Male,Not Hispanic Or Latino,19TH / ROSEDALE ST NE,1D,103.0,20
Stop & Frisk,"Washington, D.C.",DC,1/11/10 1:03,2010,Person,Black,Female,Not Hispanic Or Latino,19TH / ROSEDALE ST NE,1D,103.0,18
Stop & Frisk,"Washington, D.C.",DC,1/11/10 15:15,2010,Person,Black,Male,Not Hispanic Or Latino,2400 B/O BENNING RD NE,5D,504.0,19
Stop & Frisk,"Washington, D.C.",DC,1/11/10 21:00,2010,Person,Black,Male,Not Hispanic Or Latino,400 B/O 60TH ST NE,6D,608.0,22
Stop & Frisk,"Washington, D.C.",DC,1/11/10 21:00,2010,Person,Black,Male,Not Hispanic Or Latino,400 B/O 60TH ST NE,6D,608.0,22
Stop & Frisk,"Washington, D.C.",DC,1/12/10 12:29,2010,,,,,2300 B/O 34TH ST SE,6D,606.0,
Stop & Frisk,"Washington, D.C.",DC,1/12/10 18:04,2010,Person,Black,Male,Not Hispanic Or Latino,1600 B/O WISCONSIN AVE NW,2D,206.0,22
Stop & Frisk,"Washington, D.C.",DC,1/12/10 20:19,2010,Person,Black,Male,Not Hispanic Or Latino,15TH / W ST NW,3D,305.0,25
